id,fecha,usuario,texto,tema,sentimiento,likes,reposts,texto_original
40,2022-12-12,user_96688,generación heredado mundo acelerado caótico saturado buscar medio ruido acto filosófico profundo,Generación Z y crisis de sentido,neutral,6559,4318,"La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo."
41,2023-02-20,user_25712,ruido constante redes sociales hace difícil encontrar silencio interior cómo pensar profundamente medio tantas distracciones relación inteligencia artificial autonomía volviendo difusa punto delegamos decisiones importantes darnos cuenta,Generación Z y crisis de sentido,negativo,19097,550,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones? La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?
44,2022-05-31,user_34025,tecnología liberando esfuerzo convirtiendo espectadores pasivos propia vida veces siento presión mostrar vida perfecta redes sociales roba oportunidad ser auténticos generación vive expectativas irreales búsqueda constante validación,Cultura de lo efímero y proyectos de vida,positivo,18265,1794,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida. A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación.
47,2023-04-18,user_19985,mueve tan rápido incluso recuerdos parecen caducar cultura efímero borra cualquier intento construir perdure proyectos vida largo plazo hoy parece identidad cambia tan rápido tendencias tiktok,Cultura de lo efímero y proyectos de vida,negativo,19040,3314,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure. Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok.
48,2023-01-15,user_50,identidad línea construye desmonta proyecto temporal parece sólido siquiera idea quién,Cultura de lo efímero y proyectos de vida,neutral,19560,2871,"La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos."
49,2022-07-26,user_32007,algoritmos parecen conocer gustos mejor mismo inquietante pensar realmente sigo propias decisiones plataformas moldean comportamiento,IA y pérdida de autonomía humana,positivo,12923,4487,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento.
51,2024-05-18,user_68078,puede predecir emociones precisión inquietante queda entonces espontaneidad jóvenes sienten futuro incierto falta oportunidades sino exceso opciones terminan paralizando,IA y pérdida de autonomía humana,neutral,1332,4900,"La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad? Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando."
52,2023-06-10,user_41923,puede predecir emociones precisión inquietante queda entonces espontaneidad,Cultura de lo efímero y proyectos de vida,neutral,6381,1916,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?
53,2023-10-08,user_80218,jóvenes sienten futuro incierto falta oportunidades sino exceso opciones terminan paralizando seguimos siendo sujetos libres algoritmos determinan contenido vemos contenido nunca aparece,Cultura de lo efímero y proyectos de vida,positivo,1636,1174,"Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando. ¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?"
64,2024-03-09,user_28080,vínculos afectivos hoy frágiles nunca inmediatez afecta relaciones humanas identidad línea construye desmonta proyecto temporal parece sólido siquiera idea quién,IA y pérdida de autonomía humana,negativo,4323,3543,"Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas. La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos."
65,2023-08-12,user_17984,jóvenes sensación vacío difícil explicar vivimos mundo hiperconectado paradójicamente cada día sentimos solos puede predecir emociones precisión inquietante queda entonces espontaneidad,Cultura de lo efímero y proyectos de vida,negativo,14340,4956,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos. La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?"
71,2023-05-15,user_63675,cultura actual parece obsesionada nuevo inmediato dejando espacio reflexión compromiso duradero mueve tan rápido incluso recuerdos parecen caducar cultura efímero borra cualquier intento construir perdure,IA y pérdida de autonomía humana,negativo,8930,1058,"La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero. Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure."
73,2024-01-30,user_24070,tecnología liberando esfuerzo convirtiendo espectadores pasivos propia vida generación heredado mundo acelerado caótico saturado buscar medio ruido acto filosófico profundo,Cultura de lo efímero y proyectos de vida,negativo,10338,2576,"No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida. La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo."
75,2023-10-11,user_89604,generación enfrenta dilema existencial querer cambiar mundo atrapada dinámicas inmediatez consumo constante puede predecir emociones precisión inquietante queda entonces espontaneidad,Cultura de lo efímero y proyectos de vida,negativo,2121,2455,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante. La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?"
79,2022-11-27,user_13528,vínculos afectivos hoy frágiles nunca inmediatez afecta relaciones humanas,IA y pérdida de autonomía humana,positivo,10580,163,Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.
88,2022-11-14,user_36874,algoritmos parecen conocer gustos mejor mismo inquietante pensar realmente sigo propias decisiones plataformas moldean comportamiento mueve tan rápido incluso recuerdos parecen caducar cultura efímero borra cualquier intento construir perdure,IA y pérdida de autonomía humana,neutral,18646,2417,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento. Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.
89,2023-05-05,user_57668,seguimos siendo sujetos libres algoritmos determinan contenido vemos contenido nunca aparece puede predecir emociones precisión inquietante queda entonces espontaneidad,IA y pérdida de autonomía humana,positivo,10317,3428,¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece? La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?
92,2022-01-29,user_22677,jóvenes sienten futuro incierto falta oportunidades sino exceso opciones terminan paralizando,Generación Z y crisis de sentido,positivo,9826,1739,"Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando."
95,2023-05-04,user_8547,tecnología liberando esfuerzo convirtiendo espectadores pasivos propia vida puede predecir emociones precisión inquietante queda entonces espontaneidad,Cultura de lo efímero y proyectos de vida,negativo,3102,2157,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida. La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?
104,2022-01-18,user_10410,cada vez app recomienda ver comprar siento renuncio libertad elección generación enfrenta dilema existencial querer cambiar mundo atrapada dinámicas inmediatez consumo constante,IA y pérdida de autonomía humana,negativo,3892,4762,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección. La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante."
105,2024-03-01,user_53144,proyectos vida largo plazo hoy parece identidad cambia tan rápido tendencias tiktok mueve tan rápido incluso recuerdos parecen caducar cultura efímero borra cualquier intento construir perdure,Cultura de lo efímero y proyectos de vida,neutral,6651,286,Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok. Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.
109,2023-12-29,user_52360,jóvenes sienten futuro incierto falta oportunidades sino exceso opciones terminan paralizando algoritmos parecen conocer gustos mejor mismo inquietante pensar realmente sigo propias decisiones plataformas moldean comportamiento,Generación Z y crisis de sentido,negativo,12280,95,"Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando. Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento."
111,2024-05-29,user_95591,cultura actual parece obsesionada nuevo inmediato dejando espacio reflexión compromiso duradero tecnología liberando esfuerzo convirtiendo espectadores pasivos propia vida,Cultura de lo efímero y proyectos de vida,neutral,9026,1104,"La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero. No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida."
119,2024-01-31,user_51952,cada vez app recomienda ver comprar siento renuncio libertad elección relación inteligencia artificial autonomía volviendo difusa punto delegamos decisiones importantes darnos cuenta,Cultura de lo efímero y proyectos de vida,negativo,17178,644,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección. La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?"
132,2024-01-01,user_45470,cada vez app recomienda ver comprar siento renuncio libertad elección tanta información desafío aprender sino filtrar exceso conocimiento puede ser forma moderna confusión,Cultura de lo efímero y proyectos de vida,positivo,11133,2381,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección. Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión."
133,2023-06-23,user_74536,relación inteligencia artificial autonomía volviendo difusa punto delegamos decisiones importantes darnos cuenta cultura actual parece obsesionada nuevo inmediato dejando espacio reflexión compromiso duradero,IA y pérdida de autonomía humana,neutral,8159,2483,"La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta? La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero."
140,2023-06-14,user_27852,algoritmos parecen conocer gustos mejor mismo inquietante pensar realmente sigo propias decisiones plataformas moldean comportamiento tanta información desafío aprender sino filtrar exceso conocimiento puede ser forma moderna confusión,IA y pérdida de autonomía humana,negativo,3319,4473,"Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento. Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión."
144,2023-10-01,user_3985,identidad línea construye desmonta proyecto temporal parece sólido siquiera idea quién seguimos siendo sujetos libres algoritmos determinan contenido vemos contenido nunca aparece,Cultura de lo efímero y proyectos de vida,neutral,1035,670,"La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos. ¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?"
145,2023-05-01,user_48902,veces siento presión mostrar vida perfecta redes sociales roba oportunidad ser auténticos generación vive expectativas irreales búsqueda constante validación jóvenes sensación vacío difícil explicar vivimos mundo hiperconectado paradójicamente cada día sentimos solos,Generación Z y crisis de sentido,neutral,7611,516,"A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos."
149,2024-04-24,user_74449,veces siento presión mostrar vida perfecta redes sociales roba oportunidad ser auténticos generación vive expectativas irreales búsqueda constante validación generación enfrenta dilema existencial querer cambiar mundo atrapada dinámicas inmediatez consumo constante,Cultura de lo efímero y proyectos de vida,negativo,7339,2269,"A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante."
151,2022-11-13,user_43060,generación heredado mundo acelerado caótico saturado buscar medio ruido acto filosófico profundo jóvenes sensación vacío difícil explicar vivimos mundo hiperconectado paradójicamente cada día sentimos solos,Cultura de lo efímero y proyectos de vida,neutral,6398,2607,"La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo. Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos."
152,2022-03-11,user_70514,relación inteligencia artificial autonomía volviendo difusa punto delegamos decisiones importantes darnos cuenta seguimos siendo sujetos libres algoritmos determinan contenido vemos contenido nunca aparece,Generación Z y crisis de sentido,negativo,3568,4046,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta? ¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?
154,2022-06-27,user_85626,mueve tan rápido incluso recuerdos parecen caducar cultura efímero borra cualquier intento construir perdure cultura actual parece obsesionada nuevo inmediato dejando espacio reflexión compromiso duradero,Cultura de lo efímero y proyectos de vida,positivo,16602,1997,"Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure. La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero."
155,2022-12-22,user_79981,algoritmos parecen conocer gustos mejor mismo inquietante pensar realmente sigo propias decisiones plataformas moldean comportamiento vínculos afectivos hoy frágiles nunca inmediatez afecta relaciones humanas,Generación Z y crisis de sentido,neutral,2078,3031,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento. Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.
157,2022-11-03,user_50614,ruido constante redes sociales hace difícil encontrar silencio interior cómo pensar profundamente medio tantas distracciones mueve tan rápido incluso recuerdos parecen caducar cultura efímero borra cualquier intento construir perdure,Generación Z y crisis de sentido,neutral,9610,1096,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones? Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.
162,2022-08-06,user_17543,jóvenes sensación vacío difícil explicar vivimos mundo hiperconectado paradójicamente cada día sentimos solos identidad línea construye desmonta proyecto temporal parece sólido siquiera idea quién,IA y pérdida de autonomía humana,positivo,14853,4038,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos. La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos."
164,2023-05-20,user_85103,veces siento presión mostrar vida perfecta redes sociales roba oportunidad ser auténticos generación vive expectativas irreales búsqueda constante validación jóvenes sienten futuro incierto falta oportunidades sino exceso opciones terminan paralizando,IA y pérdida de autonomía humana,negativo,14686,2427,"A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando."
171,2022-12-29,user_93400,mueve tan rápido incluso recuerdos parecen caducar cultura efímero borra cualquier intento construir perdure algoritmos parecen conocer gustos mejor mismo inquietante pensar realmente sigo propias decisiones plataformas moldean comportamiento,IA y pérdida de autonomía humana,negativo,707,2154,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure. Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento.
181,2022-10-23,user_87129,relación inteligencia artificial autonomía volviendo difusa punto delegamos decisiones importantes darnos cuenta tecnología liberando esfuerzo convirtiendo espectadores pasivos propia vida,Cultura de lo efímero y proyectos de vida,neutral,10866,4965,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta? No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.
189,2023-10-26,user_31288,seguimos siendo sujetos libres algoritmos determinan contenido vemos contenido nunca aparece algoritmos parecen conocer gustos mejor mismo inquietante pensar realmente sigo propias decisiones plataformas moldean comportamiento,Cultura de lo efímero y proyectos de vida,negativo,8730,4969,¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece? Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento.
198,2022-11-18,user_33461,ruido constante redes sociales hace difícil encontrar silencio interior cómo pensar profundamente medio tantas distracciones puede predecir emociones precisión inquietante queda entonces espontaneidad,Cultura de lo efímero y proyectos de vida,negativo,5937,4102,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones? La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?
199,2022-07-14,user_82529,veces siento presión mostrar vida perfecta redes sociales roba oportunidad ser auténticos generación vive expectativas irreales búsqueda constante validación relación inteligencia artificial autonomía volviendo difusa punto delegamos decisiones importantes darnos cuenta,Cultura de lo efímero y proyectos de vida,positivo,13078,4810,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?
205,2023-10-31,user_9007,veces siento presión mostrar vida perfecta redes sociales roba oportunidad ser auténticos generación vive expectativas irreales búsqueda constante validación presión ser productivo tiempo quemando generación entera vida debe ser rendimiento,IA y pérdida de autonomía humana,negativo,2784,4949,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.
210,2022-05-28,user_34718,presión ser productivo tiempo quemando generación entera vida debe ser rendimiento tecnología liberando esfuerzo convirtiendo espectadores pasivos propia vida,Cultura de lo efímero y proyectos de vida,negativo,11636,849,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento. No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.
212,2023-10-04,user_39576,jóvenes sensación vacío difícil explicar vivimos mundo hiperconectado paradójicamente cada día sentimos solos generación heredado mundo acelerado caótico saturado buscar medio ruido acto filosófico profundo,Cultura de lo efímero y proyectos de vida,positivo,8016,3175,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos. La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo."
